"tier","scenario_family","scenario_name","layer","world","condition","task","model","channel","n_jobs"
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k9_disjoint","C4",32
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","kTSP_k9_disjoint","C4",3
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_nondisjoint","C4",2
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds004504__EC","AD_vs_FTD","kTSP_CV_disjoint","Cz",66
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_vs_FTD","kTSP_CV_nondisjoint","Cz",8
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k3_disjoint","Cz",8
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","CN_vs_FTD","kTSP_k5_disjoint","Cz",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","Cz",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","Cz",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_FTD_vs_CN","kTSP_k9_disjoint","Cz",1
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_FTD_vs_CN","kTSP_k9_disjoint","Cz",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","AD_vs_CN","kTSP_k9_disjoint","Cz",3
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_CN","kTSP_k9_disjoint","Cz",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds004504__EC","AD_vs_FTD","kTSP_k9_disjoint","Cz",6
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","Cz",12
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","AD_vs_FTD","kTSP_k9_disjoint","Cz",7
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","AD_vs_FTD","kTSP_k9_disjoint","Cz",1
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","ds004504__EC","CN_vs_FTD","kTSP_k9_disjoint","Cz",11
