"comparison","metric","tier","layer","world","scenario_family","scenario_name","condition","task","ktsp_model","comparator_model","comparator_block","n_repeats","mean_delta","median_delta","bootstrap_ci_low","bootstrap_ci_high","wilcox_p","paired_t_p","wilcox_p_holm","wilcox_p_bh","paired_t_p_holm","paired_t_p_bh"
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","ranger_rf","classic_fast",20,0.00576990429879572,0.0116447811447811,-0.01329793376329,0.0249434418828425,0.422175673993565,0.567608148812197,1,0.455459233354054,1,0.597482261907576
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","ranger_rf","classic_fast",20,0.017851921753824,0.0186116239498807,-0.0142032314085358,0.0478953100090768,0.211064231877061,0.279451656490834,1,0.243355655379316,1,0.315216619035214
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","ranger_rf","classic_fast",20,0.0178181818181818,0.0249242424242424,0.00206780303030302,0.0329482954545455,0.0400091295716329,0.0369658764859362,1,0.04860922284404,1,0.0451226661330676
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","glmnet_ridge","classic_fast",20,0.117470886140309,0.112485049932576,0.0963730192478833,0.140190814429754,9.56917315706463e-05,3.95000173700181e-09,0.0496898731631834,0.00029443609714045,1.58395069653773e-06,1.71166741936745e-08
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","glmnet_ridge","classic_fast",20,0.191743124617725,0.167662122995333,0.160284121452846,0.225355703834253,9.56917315706463e-05,6.82723335462419e-10,0.0496898731631834,0.000324133170225704,3.04494607616239e-07,4.73354845920611e-09
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","glmnet_ridge","classic_fast",20,0.115818181818182,0.111666666666667,0.0995214015151515,0.133250189393939,9.5423308128284e-05,7.81986005411568e-11,0.0490829590524173,0.000299071327167016,3.46419800397325e-08,5.21324003607712e-10
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","glmnet_lasso","classic_fast",20,0.148300695353251,0.128805481957656,0.12248446053032,0.174818953187635,9.56917315706463e-05,1.81560944638529e-09,0.0496898731631834,0.00029443609714045,7.53477920249894e-07,8.90676332189008e-09
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","glmnet_lasso","classic_fast",20,0.258057327848871,0.22881562130199,0.216427232071226,0.303318088260236,9.56917315706463e-05,8.9796081565166e-10,0.0496898731631834,0.000324133170225704,3.94204798071079e-07,5.69223089127222e-09
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","glmnet_lasso","classic_fast",20,0.139969696969697,0.133257575757576,0.120916477272727,0.159485227272727,9.55574483907373e-05,2.56753002181232e-11,0.0490829590524173,0.000299071327167016,1.16309109988098e-08,1.96340531079765e-10
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","knn_euclidean","classic_fast",20,0.060123571718635,0.0597981800807887,0.0375713324878384,0.0815977307655489,0.000553830376860853,4.13997174433148e-05,0.121288852532527,0.000932012284684931,0.00952193501196242,7.37274454954317e-05
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","knn_euclidean","classic_fast",20,0.147010704703431,0.134197338811664,0.112584198910447,0.182591126731105,0.00011157661051997,1.78929592020679e-07,0.0496898731631834,0.000324133170225704,6.33410755753202e-05,5.54472089553419e-07
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","knn_euclidean","classic_fast",20,0.0554545454545454,0.0483333333333333,0.0359844696969697,0.0759015151515151,0.000235449561167833,2.80539514319854e-05,0.0626295832706436,0.000466112496020886,0.00662073253794855,5.11861569987102e-05
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","xgboost_default","classic_fast",20,0.0845498866664837,0.0786569710482753,0.0648992992094665,0.104025645784537,9.56917315706463e-05,1.12289969849276e-07,0.0496898731631834,0.00029443609714045,3.90769095075479e-05,3.34124541044837e-07
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","xgboost_default","classic_fast",20,0.191828414081253,0.172775622273638,0.157117114907512,0.227028729393523,9.56917315706463e-05,2.04069924307444e-09,0.0496898731631834,0.000324133170225704,8.79541373765083e-07,1.16611385318539e-08
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","xgboost_default","classic_fast",20,0.0848030303030303,0.0816666666666667,0.0669522727272727,0.102964015151515,9.56917315706463e-05,2.30031803923192e-08,0.0490829590524173,0.000299071327167016,8.71820536868898e-06,8.36479286993425e-08
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","xgboost_shallow","classic_fast",20,0.0845498866664837,0.0786569710482753,0.0647416908675497,0.103875777269121,9.56917315706463e-05,1.12289969849276e-07,0.0496898731631834,0.00029443609714045,3.90769095075479e-05,3.34124541044837e-07
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","xgboost_shallow","classic_fast",20,0.191828414081253,0.172775622273638,0.157542017413183,0.22788568528205,9.56917315706463e-05,2.04069924307444e-09,0.0496898731631834,0.000324133170225704,8.79541373765083e-07,1.16611385318539e-08
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_FTD_vs_CN","kTSP_k9_disjoint","xgboost_shallow","classic_fast",20,0.0848030303030303,0.0816666666666667,0.0670375,0.102841477272727,9.56917315706463e-05,2.30031803923192e-08,0.0490829590524173,0.000299071327167016,8.71820536868898e-06,8.36479286993425e-08
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","svm_linear_liblinear","classic_fast",20,0.0344232688106527,0.0317137532230412,0.00869293944896696,0.0610288381510131,0.0318228687346354,0.0194979798767636,1,0.0395882577560057,1,0.0245495146148113
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","svm_linear_liblinear","classic_fast",20,0.0700404414773967,0.0500786716105948,0.0213836608029588,0.121068015328525,0.0160420619163943,0.0146138889766933,1,0.0214444015334836,1,0.0192385373870392
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","svm_linear_liblinear","classic_fast",20,0.0344285714285714,0.0286309523809524,0.00981502976190473,0.0605119047619048,0.0346252075233358,0.0166242080909675,1,0.0424648771512608,1,0.0209820102119007
"best_ktsp_vs_each_classifier","macro_f1","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","sda_shrinklda","classic_fast",20,-0.0416743754611401,-0.049590450399274,-0.0620105650713236,-0.019136375124059,0.00429083743463042,0.00148183828566071,0.639334777759932,0.00598186452012822,0.220793904563446,0.00207138685092358
"best_ktsp_vs_each_classifier","mcc","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","sda_shrinklda","classic_fast",20,-0.0697059080752259,-0.0849134544087493,-0.106445917440943,-0.0299438493427516,0.00679723087226417,0.00254658816483852,1,0.00947603231522082,0.399814341879648,0.00363798309262646
"best_ktsp_vs_each_classifier","balanced_accuracy","tier1_main","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","single_condition","single_condition","ds004504__EC","AD_vs_CN","kTSP_k9_disjoint","sda_shrinklda","classic_fast",20,-0.0371488095238095,-0.0431547619047619,-0.0567526785714286,-0.0168141369047619,0.00679240506896095,0.00245037386387904,0.889173122080169,0.00897096460298824,0.335701219351428,0.0033182146073362
