"split_family","condition","task","repeat_id","positive_class","negative_class","n","tp","tn","fp","fn","accuracy","macro_f1","balanced_accuracy","mcc","precision_positive","recall_positive","f1_positive","support_positive","precision_negative","recall_negative","f1_negative","support_negative"
"P0","ds004504__EC","AD_vs_CN",5,"AD","CN",65,30,7,22,6,0.569230769230769,0.507575757575758,0.53735632183908,0.0928476690885259,0.576923076923077,0.833333333333333,0.681818181818182,36,0.538461538461538,0.241379310344828,0.333333333333333,29
"P0","ds004504__EC","AD_vs_CN",6,"AD","CN",65,27,10,19,9,0.569230769230769,0.53760162601626,0.547413793103448,0.103640435431291,0.58695652173913,0.75,0.658536585365854,36,0.526315789473684,0.344827586206897,0.416666666666667,29
"P0","ds004504__EC","AD_vs_CN",7,"AD","CN",65,27,4,25,9,0.476923076923077,0.402056277056277,0.443965517241379,-0.139271503632789,0.519230769230769,0.75,0.613636363636364,36,0.307692307692308,0.137931034482759,0.19047619047619,29
"P0","ds004504__EC","AD_vs_CN",8,"AD","CN",65,28,10,19,8,0.584615384615385,0.55011535503717,0.561302681992337,0.136199194401439,0.595744680851064,0.777777777777778,0.674698795180723,36,0.555555555555556,0.344827586206897,0.425531914893617,29
"P0","ds004504__EC","AD_vs_CN",9,"AD","CN",65,29,5,24,7,0.523076923076923,0.447793916141409,0.488984674329502,-0.0282259799603408,0.547169811320755,0.805555555555556,0.651685393258427,36,0.416666666666667,0.172413793103448,0.24390243902439,29
"P0","ds004504__EC","AD_vs_CN",10,"AD","CN",65,28,10,19,8,0.584615384615385,0.55011535503717,0.561302681992337,0.136199194401439,0.595744680851064,0.777777777777778,0.674698795180723,36,0.555555555555556,0.344827586206897,0.425531914893617,29
"P0","ds004504__EC","AD_vs_CN",11,"AD","CN",65,28,9,20,8,0.569230769230769,0.528985507246377,0.544061302681992,0.0996764354360326,0.583333333333333,0.777777777777778,0.666666666666667,36,0.529411764705882,0.310344827586207,0.391304347826087,29
"P0","ds004504__EC","AD_vs_CN",12,"AD","CN",65,28,3,26,8,0.476923076923077,0.386111111111111,0.440613026819923,-0.15746288830397,0.518518518518518,0.777777777777778,0.622222222222222,36,0.272727272727273,0.103448275862069,0.15,29
"P0","ds004504__EC","AD_vs_CN",13,"AD","CN",65,26,10,19,10,0.553846153846154,0.525069286974049,0.533524904214559,0.0722148537355202,0.577777777777778,0.722222222222222,0.641975308641975,36,0.5,0.344827586206897,0.408163265306122,29
"P0","ds004504__EC","AD_vs_CN",14,"AD","CN",65,27,9,20,9,0.553846153846154,0.516790566521405,0.530172413793103,0.067035540994458,0.574468085106383,0.75,0.650602409638554,36,0.5,0.310344827586207,0.382978723404255,29
"P0","ds004504__EC","AD_vs_CN",15,"AD","CN",65,27,14,15,9,0.630769230769231,0.615384615384615,0.616379310344828,0.241973307623085,0.642857142857143,0.75,0.692307692307692,36,0.608695652173913,0.482758620689655,0.538461538461538,29
"P0","ds004504__EC","AD_vs_CN",16,"AD","CN",65,31,4,25,5,0.538461538461538,0.442219679633867,0.499521072796935,-0.00137858796384851,0.553571428571429,0.861111111111111,0.673913043478261,36,0.444444444444444,0.137931034482759,0.210526315789474,29
"P0","ds004504__EC","AD_vs_CN",17,"AD","CN",65,31,4,25,5,0.538461538461538,0.442219679633867,0.499521072796935,-0.00137858796384851,0.553571428571429,0.861111111111111,0.673913043478261,36,0.444444444444444,0.137931034482759,0.210526315789474,29
"P0","ds004504__EC","AD_vs_CN",18,"AD","CN",65,29,3,26,7,0.492307692307692,0.395604395604396,0.454501915708812,-0.125369533890275,0.527272727272727,0.805555555555556,0.637362637362637,36,0.3,0.103448275862069,0.153846153846154,29
"P0","ds004504__EC","AD_vs_CN",19,"AD","CN",65,27,11,18,9,0.584615384615385,0.557823129251701,0.564655172413793,0.139271503632789,0.6,0.75,0.666666666666667,36,0.55,0.379310344827586,0.448979591836735,29
"P0","ds004504__EC","AD_vs_CN",20,"AD","CN",65,27,7,22,9,0.523076923076923,0.473202614379085,0.495689655172414,-0.00994796454519921,0.551020408163265,0.75,0.635294117647059,36,0.4375,0.241379310344828,0.311111111111111,29
"P0","ds004504__EC","AD_vs_FTD",1,"AD","FTD",59,28,6,17,8,0.576271186440678,0.507841174507841,0.519323671497585,0.0443062032248202,0.622222222222222,0.777777777777778,0.691358024691358,36,0.428571428571429,0.260869565217391,0.324324324324324,23
