"split_family","condition","task","metric","n_repeats","repeat_mean","repeat_sd","repeat_median","repeat_iqr","repeat_min","repeat_max","comparison_policy"
"P0","ds004504__EC","AD_vs_CN","mcc",20,0.037279416794014,0.104617832434867,0.0360968724163547,0.123874080830386,-0.15746288830397,0.241973307623085,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_CN","precision_positive",20,0.568220356272026,0.0314128272064439,0.565011820330969,0.0386333534338806,0.518518518518518,0.642857142857143,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_CN","recall_positive",20,0.772222222222222,0.0437816069806896,0.763888888888889,0.0347222222222223,0.694444444444444,0.861111111111111,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_CN","f1_positive",20,0.653524099991771,0.0223346073574041,0.654956620679847,0.0370675360445182,0.613636363636364,0.692307692307692,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_CN","precision_negative",20,0.467449848296362,0.0922146469016634,0.475,0.104941933066933,0.272727272727273,0.608695652173913,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_CN","recall_negative",20,0.26551724137931,0.109673547981516,0.275862068965517,0.181034482758621,0.103448275862069,0.482758620689655,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P0","ds004504__EC","AD_vs_CN","f1_negative",20,0.333472793764068,0.112190070933588,0.350340136054422,0.183324570507743,0.15,0.538461538461538,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","accuracy",20,0.563076923076923,0.0357854431936445,0.569230769230769,0.023076923076923,0.492307692307692,0.646153846153846,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","macro_f1",20,0.519522289558417,0.056335280539764,0.515763742071882,0.0497623784154854,0.411121524523586,0.637575757575758,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
"P1","ds004504__EC","AD_vs_CN","balanced_accuracy",20,0.539176245210728,0.0414709565580905,0.53544061302682,0.0346024904214559,0.461206896551724,0.636973180076628,"P0_and_P1_reported_as_separate_descriptive_strata; no_paired_cross_representation_test"
