"tier","scenario_family","scenario_name","layer","world","condition","task","block","model","accuracy","balanced_accuracy","f1_pos","f1_neg","macro_f1","mcc"
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_ABSOLUTE_CHANNEL_BAND","ds006036__EO_or_photomark","CN_vs_FTD","classic_fast","glmnet_lasso",0.790511172329354,0.786531986531987,0.747780109901322,0.813761491034218,0.78077080046777,0.597263806857283
"tier1_main","single_condition","single_condition","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","ds006036__EO_or_photomark","CN_vs_FTD","classic_fast","glmnet_ridge",0.817353535353535,0.8185,0.792176878676879,0.828463425463425,0.810320152070152,0.65708813004033
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","RAW_DECILES","ds006036__EO_or_photomark","CN_vs_FTD","classic_fast","sda_shrinklda",0.748767676767677,0.745666666666667,0.705886169386169,0.7691891996892,0.737537684537685,0.512154961612553
"tier1_main","single_condition","single_condition","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","ds006036__EO_or_photomark","CN_vs_FTD","classic_fast","sda_shrinklda",0.753474135292317,0.753535353535354,0.726659872114418,0.765514395817426,0.746087133965922,0.52436988681481
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","CN_vs_FTD","classic_fast","ranger_rf",0.865384615384615,0.870314842578711,0.857142857142857,0.872727272727273,0.864935064935065,0.735682938029248
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","CN_vs_FTD","classic_fast","ranger_rf",0.865384615384615,0.865817091454273,0.851063829787234,0.87719298245614,0.864128406121687,0.728907247654725
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","CN_vs_FTD","classic_fast","sda_shrinklda",0.865384615384615,0.861319340329835,0.844444444444444,0.88135593220339,0.862900188323917,0.72646074794165
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EO_photo_train__EC_test","CN_vs_FTD","classic_fast","ranger_rf",0.826923076923077,0.813343328335832,0.780487804878049,0.857142857142857,0.818815331010453,0.654240844412795
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EO_photo_train__EC_test","CN_vs_FTD","classic_fast","glmnet_elasticnet",0.865384615384615,0.870314842578711,0.857142857142857,0.872727272727273,0.864935064935065,0.735682938029248
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","CN_vs_FTD","classic_fast","ranger_rf",0.826923076923077,0.813343328335832,0.780487804878049,0.857142857142857,0.818815331010453,0.654240844412795
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","classic_fast","ranger_rf",0.818343434343434,0.81675,0.793811935562979,0.832887585897648,0.813349760730313,0.643921171052274
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","POOLED_EC_EO_subject_grouped","CN_vs_FTD","classic_fast","glmnet_elasticnet",0.831505050505051,0.833458333333333,0.815275260974649,0.842203507428194,0.828739384201421,0.673224376508471
"tier4_pooled","pooled_condition","POOLED_EC_EO_subject_grouped","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","POOLED_EC_EO_subject_grouped","CN_vs_FTD","classic_fast","ranger_rf",0.817606060606061,0.816083333333333,0.79125467528015,0.833708992377234,0.812481833828692,0.642991452380359
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P1_psd_bandpower_from_derivatives","PSD_REGION_ABSOLUTE","EC_train__EO_photo_test","AD_vs_FTD","classic_fast","ranger_rf",0.76271186440678,0.727053140096618,0.82051282051282,0.65,0.73525641025641,0.48901656492805
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EC_train__EO_photo_test","AD_vs_FTD","classic_fast","sda_shrinklda",0.694915254237288,0.68719806763285,0.742857142857143,0.625,0.683928571428571,0.369519245590278
"tier2_cross_condition","cross_condition_transfer","EO_photo_train__EC_test","P0_derivative_amplitude_deciles","REGION_AGGREGATES_ALL","EO_photo_train__EC_test","AD_vs_FTD","classic_fast","glmnet_ridge",0.711864406779661,0.638285024154589,0.804597701149425,0.451612903225806,0.628105302187616,0.393994566321899
"tier2_cross_condition","cross_condition_transfer","EC_train__EO_photo_test","P0_derivative_amplitude_deciles","DERIVED_DECILES_ALL","EC_train__EO_photo_test","AD_vs_FTD","classic_fast","sda_shrinklda",0.76271186440678,0.766304347826087,0.794117647058823,0.72,0.757058823529412,0.521394625089733
