split_family,layer,world,condition,task,repeat_id,negative_class,positive_class,outer_fold_n,original_selected_k_by_fold,adjusted_selected_k_by_fold,original_selected_k_mean,adjusted_selected_k_mean,delta_selected_k_mean_adjusted_minus_original,direction_sensitive_jaccard_mean,direction_insensitive_jaccard_mean,direction_sensitive_overlap_coefficient_mean,direction_insensitive_overlap_coefficient_mean,common_unordered_pair_n,reversed_common_pair_n,reversal_rate_among_common_unordered_pairs,original_train_relation_vote_n,original_train_tie_vote_n,original_train_tie_rate,original_test_relation_vote_n,original_test_tie_vote_n,original_test_tie_rate,adjusted_train_relation_vote_n,adjusted_train_tie_vote_n,adjusted_train_tie_rate,adjusted_test_relation_vote_n,adjusted_test_tie_vote_n,adjusted_test_tie_rate,delta_test_tie_rate_adjusted_minus_original,delta_train_tie_rate_adjusted_minus_original
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,1,CN,AD_FTD,5,9|9|9|9|5,9|3|9|9|9,8.2,7.8,-0.4,0.04171122994652406,0.04171122994652406,0.1111111111111111,0.1111111111111111,3,0,0.0,2880,0,0.0,728,0,0.0,2748,0,0.0,684,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,2,CN,AD_FTD,5,9|5|9|5|3,3|9|5|9|9,6.2,7.0,0.8,0.03333333333333333,0.03333333333333333,0.08,0.08,2,0,0.0,2176,0,0.0,552,0,0.0,2468,0,0.0,612,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,3,CN,AD_FTD,5,9|9|9|9|9,3|9|5|9|9,9.0,7.0,-2.0,0.03676470588235294,0.03676470588235294,0.06666666666666667,0.06666666666666667,3,0,0.0,3168,0,0.0,792,0,0.0,2468,0,0.0,612,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,4,CN,AD_FTD,5,9|5|9|9|9,3|9|9|9|9,8.2,7.8,-0.4,0.045098039215686274,0.045098039215686274,0.10222222222222223,0.10222222222222223,3,0,0.0,2888,0,0.0,720,0,0.0,2748,0,0.0,684,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,5,CN,AD_FTD,5,9|9|9|9|9,3|9|5|9|5,9.0,6.2,-2.8,0.07676470588235294,0.07676470588235294,0.19999999999999998,0.19999999999999998,5,0,0.0,3168,0,0.0,792,0,0.0,2180,0,0.0,548,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,6,CN,AD_FTD,5,9|9|9|3|5,3|9|5|5|9,7.0,6.2,-0.8,0.08,0.08,0.16,0.16,4,0,0.0,2460,0,0.0,620,0,0.0,2188,0,0.0,540,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,7,CN,AD_FTD,5,5|3|5|9|9,5|5|5|9|5,6.2,5.8,-0.4,0.0,0.0,0.0,0.0,0,0,,2188,0,0.0,540,0,0.0,2040,0,0.0,512,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,8,CN,AD_FTD,5,9|9|5|5|9,9|9|9|3|3,7.4,6.6,-0.8,0.023529411764705882,0.023529411764705882,0.04444444444444444,0.04444444444444444,2,0,0.0,2608,0,0.0,648,0,0.0,2316,0,0.0,588,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,9,CN,AD_FTD,5,9|9|3|9|9,9|9|9|3|5,7.8,7.0,-0.8,0.029946524064171122,0.029946524064171122,0.08888888888888888,0.08888888888888888,2,0,0.0,2748,0,0.0,684,0,0.0,2460,0,0.0,620,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,10,CN,AD_FTD,5,9|3|9|9|5,9|5|9|9|9,7.0,8.2,1.2,0.11725921137685844,0.11725921137685844,0.2,0.2,7,0,0.0,2460,0,0.0,620,0,0.0,2888,0,0.0,720,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,11,CN,AD_FTD,5,3|5|5|9|5,9|9|9|9|3,5.4,7.8,2.4,0.08713786213786213,0.08713786213786213,0.21777777777777776,0.21777777777777776,5,0,0.0,1900,0,0.0,476,0,0.0,2736,0,0.0,696,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,12,CN,AD_FTD,5,5|9|9|3|9,3|5|9|9|9,7.0,7.0,0.0,0.05357142857142857,0.05357142857142857,0.1111111111111111,0.1111111111111111,3,0,0.0,2468,0,0.0,612,0,0.0,2468,0,0.0,612,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,13,CN,AD_FTD,5,9|3|9|9|9,9|9|9|9|3,7.8,7.8,0.0,0.011764705882352941,0.011764705882352941,0.02222222222222222,0.02222222222222222,1,0,0.0,2748,0,0.0,684,0,0.0,2736,0,0.0,696,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,14,CN,AD_FTD,5,9|9|9|3|3,9|9|9|9|9,6.6,9.0,2.4,0.05,0.05,0.08888888888888888,0.08888888888888888,4,0,0.0,2316,0,0.0,588,0,0.0,3168,0,0.0,792,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,15,CN,AD_FTD,5,9|9|3|9|9,9|5|3|9|9,7.8,7.0,-0.8,0.05214932126696833,0.05214932126696833,0.10666666666666666,0.10666666666666666,4,0,0.0,2748,0,0.0,684,0,0.0,2468,0,0.0,612,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,16,CN,AD_FTD,5,9|3|9|5|5,9|9|3|5|5,6.2,6.2,0.0,0.04444444444444444,0.04444444444444444,0.08,0.08,2,0,0.0,2180,0,0.0,548,0,0.0,2180,0,0.0,548,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,17,CN,AD_FTD,5,9|9|9|9|3,9|9|9|9|5,7.8,8.2,0.4,0.025,0.025,0.04444444444444444,0.04444444444444444,2,0,0.0,2736,0,0.0,696,0,0.0,2880,0,0.0,728,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,18,CN,AD_FTD,5,9|5|5|5|9,3|3|9|9|9,6.6,6.6,0.0,0.02857142857142857,0.02857142857142857,0.06666666666666667,0.06666666666666667,1,0,0.0,2328,0,0.0,576,0,0.0,2328,0,0.0,576,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,19,CN,AD_FTD,5,9|9|9|9|9,5|9|3|9|9,9.0,7.0,-2.0,0.011764705882352941,0.011764705882352941,0.02222222222222222,0.02222222222222222,1,0,0.0,3168,0,0.0,792,0,0.0,2468,0,0.0,612,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_FTD_vs_CN,20,CN,AD_FTD,5,3|9|9|5|5,5|9|5|9|9,6.2,7.4,1.2,0.0579185520361991,0.0579185520361991,0.14222222222222222,0.14222222222222222,4,0,0.0,2180,0,0.0,548,0,0.0,2608,0,0.0,648,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,1,CN,AD,5,5|3|9|9|9,9|3|9|5|3,7.0,5.8,-1.2,0.015384615384615385,0.015384615384615385,0.04,0.04,1,0,0.0,1824,0,0.0,451,0,0.0,1502,0,0.0,383,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,2,CN,AD,5,9|9|5|9|5,3|9|9|9|9,7.4,7.8,0.4,0.0,0.0,0.0,0.0,0,0,,1920,0,0.0,485,0,0.0,2034,0,0.0,501,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,3,CN,AD,5,9|3|9|3|3,9|5|9|9|9,5.4,8.2,2.8,0.0,0.0,0.0,0.0,0,0,,1398,0,0.0,357,0,0.0,2132,0,0.0,533,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,4,CN,AD,5,9|9|9|3|5,9|3|3|3|3,7.0,4.2,-2.8,0.07636363636363637,0.07636363636363637,0.19999999999999998,0.19999999999999998,3,0,0.0,1816,0,0.0,459,0,0.0,1086,0,0.0,279,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,5,CN,AD,5,5|5|3|9|3,3|9|9|1|5,5.0,5.4,0.4,0.01818181818181818,0.01818181818181818,0.06666666666666667,0.06666666666666667,1,0,0.0,1298,0,0.0,327,0,0.0,1406,0,0.0,349,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,6,CN,AD,5,9|3|5|9|5,5|9|5|9|3,6.2,6.2,0.0,0.037606837606837605,0.037606837606837605,0.08,0.08,2,0,0.0,1608,0,0.0,407,0,0.0,1610,0,0.0,405,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,7,CN,AD,5,3|9|3|5|9,3|9|3|9|9,5.8,6.6,0.8,0.0,0.0,0.0,0.0,0,0,,1514,0,0.0,371,0,0.0,1722,0,0.0,423,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,8,CN,AD,5,9|5|9|9|3,5|5|1|9|5,7.0,5.0,-2.0,0.049371543489190546,0.049371543489190546,0.10222222222222223,0.10222222222222223,3,0,0.0,1814,0,0.0,461,0,0.0,1300,0,0.0,325,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,9,CN,AD,5,9|5|3|3|9,5|5|9|9|5,5.8,6.6,0.8,0.015384615384615385,0.015384615384615385,0.04,0.04,1,0,0.0,1508,0,0.0,377,0,0.0,1716,0,0.0,429,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,10,CN,AD,5,9|9|9|5|9,9|5|9|1|9,8.2,6.6,-1.6,0.023529411764705882,0.023529411764705882,0.04444444444444444,0.04444444444444444,2,0,0.0,2132,0,0.0,533,0,0.0,1716,0,0.0,429,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,11,CN,AD,5,5|9|9|9|9,3|5|9|9|1,8.2,5.4,-2.8,0.0,0.0,0.0,0.0,0,0,,2136,0,0.0,529,0,0.0,1402,0,0.0,353,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,12,CN,AD,5,3|9|9|3|5,9|9|3|3|5,5.8,5.8,0.0,0.0404040404040404,0.0404040404040404,0.10666666666666666,0.10666666666666666,2,0,0.0,1510,0,0.0,375,0,0.0,1504,0,0.0,381,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,13,CN,AD,5,5|9|9|5|5,3|9|5|3|5,6.6,5.0,-1.6,0.08214285714285714,0.08214285714285714,0.17777777777777776,0.17777777777777776,4,0,0.0,1716,0,0.0,429,0,0.0,1302,0,0.0,323,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,14,CN,AD,5,5|3|5|5|3,1|3|5|3|3,4.2,3.0,-1.2,0.02222222222222222,0.02222222222222222,0.04,0.04,1,0,0.0,1090,0,0.0,275,0,0.0,782,0,0.0,193,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,15,CN,AD,5,3|5|9|9|3,3|3|5|9|3,5.8,4.6,-1.2,0.027149321266968326,0.027149321266968326,0.06222222222222222,0.06222222222222222,2,0,0.0,1508,0,0.0,377,0,0.0,1196,0,0.0,299,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,16,CN,AD,5,9|5|9|3|9,9|5|3|5|5,7.0,5.4,-1.6,0.05714285714285714,0.05714285714285714,0.08888888888888888,0.08888888888888888,4,0,0.0,1820,0,0.0,455,0,0.0,1400,0,0.0,355,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,17,CN,AD,5,3|9|3|3|3,5|5|5|5|9,4.2,5.8,1.6,0.0,0.0,0.0,0.0,0,0,,1092,0,0.0,273,0,0.0,1512,0,0.0,373,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,18,CN,AD,5,9|9|9|3|9,5|3|9|3|9,7.8,5.8,-2.0,0.03333333333333333,0.03333333333333333,0.08,0.08,2,0,0.0,2028,0,0.0,507,0,0.0,1512,0,0.0,373,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,19,CN,AD,5,5|5|9|9|9,5|9|5|5|3,7.4,5.4,-2.0,0.015384615384615385,0.015384615384615385,0.04,0.04,1,0,0.0,1928,0,0.0,477,0,0.0,1402,0,0.0,353,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_CN,20,CN,AD,5,9|3|5|3|3,3|9|9|5|9,4.6,7.0,2.4,0.05174825174825175,0.05174825174825175,0.17333333333333334,0.17333333333333334,3,0,0.0,1190,0,0.0,305,0,0.0,1826,0,0.0,449,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,1,FTD,AD,5,9|5|3|5|5,9|5|9|5|9,5.4,7.4,2.0,0.13982905982905983,0.13982905982905983,0.32,0.32,8,0,0.0,1270,0,0.0,323,0,0.0,1744,0,0.0,439,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,2,FTD,AD,5,9|9|5|9|5,9|9|9|5|3,7.4,7.0,-0.4,0.13557422969187674,0.13557422969187674,0.24444444444444444,0.24444444444444444,7,0,0.0,1744,0,0.0,439,0,0.0,1644,0,0.0,421,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,3,FTD,AD,5,9|9|9|9|9,9|9|5|9|9,9.0,8.2,-0.8,0.09214932126696833,0.09214932126696833,0.17333333333333334,0.17333333333333334,7,0,0.0,2124,0,0.0,531,0,0.0,1936,0,0.0,483,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,4,FTD,AD,5,9|9|9|9|9,5|5|5|9|9,9.0,6.6,-2.4,0.04253393665158371,0.04253393665158371,0.10222222222222223,0.10222222222222223,3,0,0.0,2124,0,0.0,531,0,0.0,1564,0,0.0,383,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,5,FTD,AD,5,9|5|9|9|9,9|5|9|9|9,8.2,8.2,0.0,0.11176470588235295,0.11176470588235295,0.19111111111111112,0.19111111111111112,7,0,0.0,1936,0,0.0,483,0,0.0,1936,0,0.0,483,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,6,FTD,AD,5,9|9|9|3|5,9|9|9|9|9,7.0,9.0,2.0,0.07714932126696833,0.07714932126696833,0.1511111111111111,0.1511111111111111,6,0,0.0,1644,0,0.0,421,0,0.0,2124,0,0.0,531,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,7,FTD,AD,5,5|5|9|9|5,9|9|9|9|9,6.6,9.0,2.4,0.04253393665158371,0.04253393665158371,0.10222222222222223,0.10222222222222223,3,0,0.0,1560,0,0.0,387,0,0.0,2124,0,0.0,531,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,8,FTD,AD,5,9|3|5|9|5,9|9|5|5|5,6.2,6.6,0.4,0.08398692810457516,0.08398692810457516,0.14222222222222222,0.14222222222222222,4,0,0.0,1462,0,0.0,367,0,0.0,1552,0,0.0,395,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,9,FTD,AD,5,9|9|9|9|9,9|9|9|5|9,9.0,8.2,-0.8,0.06714932126696833,0.06714932126696833,0.1288888888888889,0.1288888888888889,5,0,0.0,2124,0,0.0,531,0,0.0,1932,0,0.0,487,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,10,FTD,AD,5,9|3|9|9|9,9|9|5|9|9,7.8,8.2,0.4,0.08533113944878651,0.08533113944878651,0.19555555555555554,0.19555555555555554,6,0,0.0,1842,0,0.0,459,0,0.0,1936,0,0.0,483,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,11,FTD,AD,5,9|5|9|9|9,9|9|9|9|9,8.2,9.0,0.8,0.11547619047619047,0.11547619047619047,0.21333333333333332,0.21333333333333332,8,0,0.0,1936,0,0.0,483,0,0.0,2124,0,0.0,531,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,12,FTD,AD,5,9|5|9|9|9,3|9|1|9|9,8.2,6.2,-2.0,0.055384615384615386,0.055384615384615386,0.10666666666666666,0.10666666666666666,4,0,0.0,1936,0,0.0,483,0,0.0,1472,0,0.0,357,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,13,FTD,AD,5,3|9|5|9|9,9|9|9|9|9,7.0,9.0,2.0,0.05,0.05,0.08888888888888888,0.08888888888888888,4,0,0.0,1660,0,0.0,405,0,0.0,2124,0,0.0,531,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,14,FTD,AD,5,9|9|5|9|5,9|9|9|3|5,7.4,7.0,-0.4,0.08318181818181819,0.08318181818181819,0.17777777777777776,0.17777777777777776,6,0,0.0,1744,0,0.0,439,0,0.0,1644,0,0.0,421,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,15,FTD,AD,5,9|9|3|9|9,5|9|9|5|9,7.8,7.4,-0.4,0.055384615384615386,0.055384615384615386,0.10666666666666666,0.10666666666666666,4,0,0.0,1842,0,0.0,459,0,0.0,1748,0,0.0,435,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,16,FTD,AD,5,9|3|9|9|9,9|9|9|9|9,7.8,9.0,1.2,0.07529411764705883,0.07529411764705883,0.19999999999999998,0.19999999999999998,5,0,0.0,1842,0,0.0,459,0,0.0,2124,0,0.0,531,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,17,FTD,AD,5,9|5|9|9|5,9|5|9|9|9,7.4,8.2,0.8,0.08891402714932127,0.08891402714932127,0.16444444444444445,0.16444444444444445,5,0,0.0,1744,0,0.0,439,0,0.0,1936,0,0.0,483,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,18,FTD,AD,5,9|3|9|9|5,9|3|9|9|9,7.0,7.8,0.8,0.09214932126696833,0.09214932126696833,0.17333333333333334,0.17333333333333334,5,0,0.0,1650,0,0.0,415,0,0.0,1842,0,0.0,459,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,19,FTD,AD,5,5|9|5|5|9,9|5|9|3|9,6.6,7.0,0.4,0.12714932126696832,0.12714932126696832,0.27555555555555555,0.27555555555555555,6,0,0.0,1560,0,0.0,387,0,0.0,1648,0,0.0,417,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,AD_vs_FTD,20,FTD,AD,5,9|9|5|9|9,9|9|9|5|9,8.2,8.2,0.0,0.027149321266968326,0.027149321266968326,0.06222222222222222,0.06222222222222222,2,0,0.0,1936,0,0.0,483,0,0.0,1932,0,0.0,487,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,1,CN,FTD,5,5|9|9|9|9,9|9|9|9|3,8.2,7.8,-0.4,0.029946524064171122,0.029946524064171122,0.08888888888888888,0.08888888888888888,2,0,0.0,1708,0,0.0,424,0,0.0,1614,0,0.0,414,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,2,CN,FTD,5,3|9|9|5|3,9|9|3|3|5,5.8,5.8,0.0,0.06857142857142857,0.06857142857142857,0.19999999999999998,0.19999999999999998,3,0,0.0,1200,0,0.0,308,0,0.0,1202,0,0.0,306,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,3,CN,FTD,5,3|9|9|9|9,9|5|9|9|3,7.8,7.0,-0.8,0.0,0.0,0.0,0.0,0,0,,1626,0,0.0,402,0,0.0,1450,0,0.0,370,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,4,CN,FTD,5,9|9|9|9|3,9|9|9|5|9,7.8,8.2,0.4,0.05214932126696833,0.05214932126696833,0.10666666666666666,0.10666666666666666,4,0,0.0,1614,0,0.0,414,0,0.0,1704,0,0.0,428,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,5,CN,FTD,5,3|3|9|9|9,9|9|5|5|9,6.6,7.4,0.8,0.045098039215686274,0.045098039215686274,0.10222222222222223,0.10222222222222223,3,0,0.0,1380,0,0.0,336,0,0.0,1540,0,0.0,384,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,6,CN,FTD,5,9|9|5|9|9,9|9|3|5|5,8.2,6.2,-2.0,0.027149321266968326,0.027149321266968326,0.06222222222222222,0.06222222222222222,2,0,0.0,1708,0,0.0,424,0,0.0,1286,0,0.0,326,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,7,CN,FTD,5,3|9|9|9|3,5|5|5|9|9,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0,0,,1368,0,0.0,348,0,0.0,1380,0,0.0,336,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,8,CN,FTD,5,9|9|5|3|5,5|9|3|3|3,6.2,4.6,-1.6,0.055720749838396894,0.055720749838396894,0.1288888888888889,0.1288888888888889,3,0,0.0,1284,0,0.0,328,0,0.0,952,0,0.0,244,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,9,CN,FTD,5,5|9|9|9|5,9|5|3|5|9,7.4,6.2,-1.2,0.10069930069930069,0.10069930069930069,0.24,0.24,6,0,0.0,1536,0,0.0,388,0,0.0,1294,0,0.0,318,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,10,CN,FTD,5,9|5|5|9|5,5|9|3|5|3,6.6,5.0,-1.6,0.03076923076923077,0.03076923076923077,0.08,0.08,2,0,0.0,1372,0,0.0,344,0,0.0,1036,0,0.0,264,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,11,CN,FTD,5,9|9|3|9|9,9|9|5|9|9,7.8,8.2,0.4,0.025,0.025,0.04444444444444444,0.04444444444444444,2,0,0.0,1626,0,0.0,402,0,0.0,1708,0,0.0,424,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,12,CN,FTD,5,5|9|5|9|3,9|9|9|9|9,6.2,9.0,2.8,0.05454545454545454,0.05454545454545454,0.12,0.12,3,0,0.0,1286,0,0.0,326,0,0.0,1872,0,0.0,468,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,13,CN,FTD,5,3|9|9|9|9,5|9|9|9|9,7.8,8.2,0.4,0.02857142857142857,0.02857142857142857,0.06666666666666667,0.06666666666666667,1,0,0.0,1626,0,0.0,402,0,0.0,1708,0,0.0,424,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,14,CN,FTD,5,3|9|9|3|9,9|9|5|3|9,6.6,7.0,0.4,0.07676470588235294,0.07676470588235294,0.13333333333333333,0.13333333333333333,4,0,0.0,1374,0,0.0,342,0,0.0,1456,0,0.0,364,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,15,CN,FTD,5,3|9|9|9|9,3|9|3|1|3,7.8,3.8,-4.0,0.011764705882352941,0.011764705882352941,0.02222222222222222,0.02222222222222222,1,0,0.0,1626,0,0.0,402,0,0.0,786,0,0.0,202,0,0.0,0.0,0.0
P0,P0_derivative_amplitude_deciles,DERIVED_DECILES_ALL,ds004504__EC,CN_vs_FTD,16,CN,FTD,5,5|9|9|9|5,9|5|3|9|9,7.4,7.0,-0.4,0.027149321266968326,0.027149321266968326,0.06222222222222222,0.06222222222222222,2,0,0.0,1536,0,0.0,388,0,0.0,1462,0,0.0,358,0,0.0,0.0,0.0
