job_id,split_family,layer,world,condition,task,repeat_id,fold_id,negative_class,positive_class,original_selected_k,adjusted_selected_k,delta_selected_k_adjusted_minus_original,direction_sensitive_intersection_n,direction_sensitive_union_n,direction_sensitive_jaccard,direction_sensitive_overlap_coefficient,direction_insensitive_intersection_n,direction_insensitive_union_n,direction_insensitive_jaccard,direction_insensitive_overlap_coefficient,common_unordered_pair_n,reversed_common_pair_n,reversal_rate_among_common_unordered_pairs,original_train_relation_vote_n,original_train_tie_vote_n,original_train_tie_rate,original_test_relation_vote_n,original_test_tie_vote_n,original_test_tie_rate,adjusted_train_relation_vote_n,adjusted_train_tie_vote_n,adjusted_train_tie_rate,adjusted_test_relation_vote_n,adjusted_test_tie_vote_n,adjusted_test_tie_rate,delta_test_tie_rate_adjusted_minus_original,delta_train_tie_rate_adjusted_minus_original
tier1_main_000033,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,4,2,CN,AD,3,9,6,0,12,0.0,0.0,0,12,0.0,0.0,0,0,,156,0,0.0,39,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000035,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,4,3,CN,AD,3,1,-2,0,4,0.0,0.0,0,4,0.0,0.0,0,0,,156,0,0.0,39,0,0.0,52,0,0.0,13,0,0.0,0.0,0.0
tier1_main_000037,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,4,4,CN,AD,3,9,6,0,12,0.0,0.0,0,12,0.0,0.0,0,0,,156,0,0.0,39,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000039,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,4,5,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,477,0,0.0,108,0,0.0,265,0,0.0,60,0,0.0,0.0,0.0
tier1_main_000041,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,5,1,CN,AD,9,9,0,1,17,0.058823529411764705,0.1111111111111111,1,17,0.058823529411764705,0.1111111111111111,1,0,0.0,459,0,0.0,126,0,0.0,459,0,0.0,126,0,0.0,0.0,0.0
tier1_main_000043,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,5,2,CN,AD,3,5,2,1,7,0.14285714285714285,0.3333333333333333,1,7,0.14285714285714285,0.3333333333333333,1,0,0.0,156,0,0.0,39,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000045,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,5,3,CN,AD,5,5,0,1,9,0.1111111111111111,0.2,1,9,0.1111111111111111,0.2,1,0,0.0,260,0,0.0,65,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000047,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,5,4,CN,AD,9,9,0,1,17,0.058823529411764705,0.1111111111111111,1,17,0.058823529411764705,0.1111111111111111,1,0,0.0,468,0,0.0,117,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000049,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,5,5,CN,AD,3,9,6,0,12,0.0,0.0,0,12,0.0,0.0,0,0,,159,0,0.0,36,0,0.0,477,0,0.0,108,0,0.0,0.0,0.0
tier1_main_000051,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,6,1,CN,AD,5,9,4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,255,0,0.0,70,0,0.0,459,0,0.0,126,0,0.0,0.0,0.0
tier1_main_000053,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,6,2,CN,AD,5,5,0,0,10,0.0,0.0,0,10,0.0,0.0,0,0,,260,0,0.0,65,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000055,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,6,3,CN,AD,9,9,0,1,17,0.058823529411764705,0.1111111111111111,1,17,0.058823529411764705,0.1111111111111111,1,0,0.0,468,0,0.0,117,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000057,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,6,4,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000059,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,6,5,CN,AD,9,9,0,1,17,0.058823529411764705,0.1111111111111111,1,17,0.058823529411764705,0.1111111111111111,1,0,0.0,477,0,0.0,108,0,0.0,477,0,0.0,108,0,0.0,0.0,0.0
tier1_main_000061,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,7,1,CN,AD,9,9,0,2,16,0.125,0.2222222222222222,2,16,0.125,0.2222222222222222,2,0,0.0,459,0,0.0,126,0,0.0,459,0,0.0,126,0,0.0,0.0,0.0
tier1_main_000063,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,7,2,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000065,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,7,3,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000067,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,7,4,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000069,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,7,5,CN,AD,5,9,4,1,13,0.07692307692307693,0.2,1,13,0.07692307692307693,0.2,1,0,0.0,265,0,0.0,60,0,0.0,477,0,0.0,108,0,0.0,0.0,0.0
tier1_main_000071,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,8,1,CN,AD,5,5,0,1,9,0.1111111111111111,0.2,1,9,0.1111111111111111,0.2,1,0,0.0,255,0,0.0,70,0,0.0,255,0,0.0,70,0,0.0,0.0,0.0
tier1_main_000073,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,8,2,CN,AD,5,5,0,1,9,0.1111111111111111,0.2,1,9,0.1111111111111111,0.2,1,0,0.0,260,0,0.0,65,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000075,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,8,3,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,260,0,0.0,65,0,0.0,0.0,0.0
tier1_main_000077,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,8,4,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,468,0,0.0,117,0,0.0,0.0,0.0
tier1_main_000079,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,8,5,CN,AD,9,5,-4,0,14,0.0,0.0,0,14,0.0,0.0,0,0,,477,0,0.0,108,0,0.0,265,0,0.0,60,0,0.0,0.0,0.0
tier1_main_000081,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,9,1,CN,AD,9,9,0,0,18,0.0,0.0,0,18,0.0,0.0,0,0,,459,0,0.0,126,0,0.0,459,0,0.0,126,0,0.0,0.0,0.0
tier1_main_000083,P0,P0_derivative_amplitude_deciles,RAW_DECILES,ds004504__EC,AD_vs_CN,9,2,CN,AD,9,3,-6,0,12,0.0,0.0,0,12,0.0,0.0,0,0,,468,0,0.0,117,0,0.0,156,0,0.0,39,0,0.0,0.0,0.0
