condition,task,primary_ktsp_method_name,primary_ktsp_feature_representation,primary_ktsp_macroF1_mean,primary_ktsp_MCC_mean,primary_ktsp_balanced_accuracy_mean,tuned_ktsp_method_name,tuned_ktsp_feature_representation,tuned_ktsp_macroF1_mean,tuned_ktsp_MCC_mean,tuned_ktsp_balanced_accuracy_mean,best_standard_method_name,best_standard_feature_representation,best_standard_macroF1_mean,best_standard_MCC_mean,best_standard_balanced_accuracy_mean,delta_primary_vs_best_standard,delta_tuned_vs_best_standard,direction_primary,direction_tuned,interpretation_short
EC,AD vs CN,Primary k-TSP,Channel-band absolute PSD/bandpower,0.7806751410354351,0.5920276746647378,0.7911309523809524,Tuned k-TSP envelope,Channel-band absolute PSD/bandpower,0.7992498457424928,0.6290334743693743,0.8095178571428571,Random forest,Channel-band absolute PSD/bandpower,0.8104289289142234,0.6483834932155191,0.8157500000000001,-0.02975378787878824,-0.011179083171730553,standard_better,standard_better,standard ML stronger in this setting
EC,FTD vs CN,Primary k-TSP,Regional amplitude-decile aggregates,0.7608858363858364,0.5569300518990341,0.7698333333333333,Tuned k-TSP envelope,Regional absolute PSD/bandpower,0.7759459984459983,0.5819048730115787,0.7777499999999999,Random forest,Raw amplitude deciles,0.725986457986458,0.4857140129009214,0.7338333333333333,0.0348993783993784,0.04995954045954032,rank_rule_better,rank_rule_better,rank-rule models strongest in this setting
EC,AD+FTD vs CN,Primary k-TSP,Channel-band absolute PSD/bandpower,0.7489989399989938,0.5470019681275268,0.7835303030303029,Tuned k-TSP envelope,Regional absolute PSD/bandpower,0.7698395743818108,0.5756376020423326,0.799780303030303,Random forest,Channel-band absolute PSD/bandpower,0.7784486880818373,0.5984374300992219,0.7704848484848484,-0.029449748082843508,-0.008609113700026483,standard_better,standard_better,standard ML stronger in this setting
EO/photo,AD vs CN,Primary k-TSP,Channel-band absolute PSD/bandpower,0.7572102170705112,0.5438316220941467,0.7654642857142858,Tuned k-TSP envelope,Regional absolute PSD/bandpower,0.8153731032039856,0.6724893670463199,0.8294226190476192,Shrinkage LDA,Regional absolute PSD/bandpower,0.7852745653469337,0.6042216148515311,0.7877559523809525,-0.028064348276422568,0.030098537857051855,standard_better,rank_rule_better,"competitive, but not universally superior"
EO/photo,FTD vs CN,Primary k-TSP,Channel-band absolute PSD/bandpower,0.8088770396270395,0.6410612156794684,0.8121666666666665,Tuned k-TSP envelope,Channel-band absolute PSD/bandpower,0.8093714896214894,0.6555295212461055,0.8183333333333331,Ridge LR,Regional absolute PSD/bandpower,0.8103201520701522,0.6570881300403298,0.8185000000000002,-0.0014431124431126818,-0.0009486624486627626,near_tie,near_tie,near tie
EO/photo,AD+FTD vs CN,Primary k-TSP,Channel-band absolute PSD/bandpower,0.7571384485864563,0.5380558380615971,0.7737878787878787,Tuned k-TSP envelope,Regional absolute PSD/bandpower,0.7738103568168718,0.5666622965641313,0.786219696969697,Shrinkage LDA,Derived decile summaries,0.7361174048505251,0.4894620434893814,0.7420454545454546,0.021021043735931166,0.0376929519663467,rank_rule_better,rank_rule_better,rank-rule models strongest in this setting
